id,state,st_abbr,per_below_poverty,median_income,median_age,per_no_coverage,per_everyday_smoker,per_obsess
1,Alabama,AL,19.3,60205,38.2,13.9,14.8,33.5
2,Alaska,AK,11.2,88583,33.4,15,13.5,29.7
4,Arizona,AZ,18.2,67557,36.5,14.4,11.1,28.9
5,Arkansas,AR,18.9,56824,37.6,16.3,17.7,35.9
6,California,CA,16.4,86704,35.6,14.8,7.7,24.7
8,Colorado,CO,12,79990,36.2,12.8,10.7,21.3
9,Connecticut,CT,10.8,99110,40.3,8.7,10.2,26.3
10,Delaware,DE,12.5,78589,39.1,8.7,14.7,30.7
11,District of Columbia,DC,17.7,104615,33.7,8.3,10,21.7
12,Florida,FL,16.5,67143,41.2,17.6,11.6,26.2
13,Georgia,GA,18.3,68317,35.8,20.9,12.4,30.5
15,Hawaii,HI,11.4,85972,38.2,8.1,9.6,22.1
16,Idaho,ID,14.8,61544,35.2,16.5,11.1,28.9
17,Illinois,IL,14.4,78521,37,11.9,11.3,29.3
18,Indiana,IN,15.2,63736,37.2,14.8,16.9,32.7
19,Iowa,IA,12.2,67621,38,7.7,13.7,30.9
20,Kansas,KS,13.6,69271,36,14.5,13.1,31.3
21,Kentucky,KY,19.1,59312,38.3,10,20.4,31.6
22,Louisiana,LA,19.8,63565,36,18.7,16.8,34.9
23,Maine,ME,14.1,64327,43.5,11,14.7,28.2
24,Maryland,MD,10.1,97135,38.1,9.2,10,29.6
25,Massachusetts,MA,11.6,92850,39.3,4.6,10,23.3
26,Michigan,MI,16.2,65790,39.3,10.3,15.6,30.7
27,Minnesota,MN,11.5,79106,37.6,7.3,11.4,27.6
28,Mississippi,MS,21.5,54881,36.3,18.8,15.5,35.5
29,Missouri,MO,15.5,64703,38.1,12.9,15.8,30.2
30,Montana,MT,15.4,62086,39.8,12.9,14,26.4
31,Nebraska,NE,12.4,68081,36.2,12.4,12.2,30.2
32,Nevada,NV,15.2,69351,36.9,17.1,10.8,27.7
33,New Hampshire,NH,9.2,84480,41.8,11.4,13,27.4
34,New Jersey,NJ,11.1,98286,39.3,12.5,9.5,26.9
35,New Mexico,NM,21.3,62136,36.8,15.4,12.7,28.4
36,New York,NY,15.9,85736,38.1,12.3,9.5,27
37,North Carolina,NC,17.2,64555,37.8,16.1,13,29.7
38,North Dakota,ND,11.5,73272,35.9,8.8,14.4,32.2
39,Ohio,OH,15.8,65491,39.1,10.2,15.6,32.6
40,Oklahoma,OK,16.6,62871,36.2,13.9,15.1,33
41,Oregon,OR,16.6,67671,38.9,11,12.1,27.9
42,Pennsylvania,PA,13.6,72210,40.4,10.1,13.9,30.2
44,Rhode Island,RI,14.3,76618,39.7,8,11.3,27
45,South Carolina,SC,18,61196,38.3,17.1,14.8,32.1
46,South Dakota,SD,14.2,65425,36.8,9.9,12.9,29.8
47,Tennessee,TN,18.3,62344,38.3,14.2,18.7,31.2
48,Texas,TX,17.2,73913,33.9,24.9,8.7,31.9
49,Utah,UT,11.7,75204,29.9,13.9,6.4,25.7
50,Vermont,VT,12.2,70524,42.2,6.7,11.7,24.8
51,Virginia,VA,11.8,88413,37.6,13.1,14,28.5
53,Washington,WA,13.2,79195,37.4,10.7,10.9,27.3
54,West Virginia,WV,18.3,55976,41.6,10.1,22.5,35.7
55,Wisconsin,WI,13.2,68319,38.8,8.5,12.9,31.2
56,Wyoming,WY,11.2,72367,36.8,15.1,14.3,29.5
